Data e Ora;Pressione;DirVento;VelVento;Umidita';Pioggia;Radiazione
02-06-17 21:14;1010.4;50;1.6;83;0;0
02-06-17 21:29;1010.4;0;0;83;0;0
02-06-17 21:44;1010.7;0;0;83;0;0
02-06-17 21:59;1010.7;84;0;84;0;0
02-06-17 22:29;1011.1;185;1.6;85;0;0
02-06-17 22:44;1011.1;190;1.6;85;0;0
02-06-17 22:59;1011.1;217;1.6;86;0;0
02-06-17 23:14;1011.1;214;3.2;87;0;0
02-06-17 23:44;1011.4;225;1.6;87;0;0
02-06-17 23:59;1011.4;225;1.6;87;0;0
03-06-17 00:14;1011.4;0;0;87;0;0
03-06-17 00:29;1011.4;244;1.6;87;0;0
03-06-17 00:44;1011.4;267;1.6;87;0;0
03-06-17 00:59;1011.4;264;1.6;88;0;0
03-06-17 01:14;1011.4;264;1.6;87;0;0
03-06-17 01:29;1011.4;264;1.6;88;0;0
03-06-17 01:44;1011.4;0;0;88;0;0
03-06-17 01:59;1011.1;0;0;89;0;0
03-06-17 02:14;1011.1;0;0;89;0;0
03-06-17 02:29;1011.1;0;0;90;0;0
03-06-17 02:44;1011.1;114;1.6;89;0;0
03-06-17 02:59;1011.1;0;0;89;0;0
03-06-17 03:14;1011.1;203;1.6;89;0;0
03-06-17 03:29;1011.1;290;1.6;90;0;0
03-06-17 03:44;1010.7;304;0;90;0;0
03-06-17 03:59;1010.7;304;0;90;0;0
03-06-17 04:14;1010.7;0;0;91;0;0
03-06-17 04:29;1010.7;304;3.2;90;0;0
03-06-17 04:44;1010.7;308;1.6;90;2.3;0
03-06-17 04:59;1010.4;269;1.6;90;7.6;0
03-06-17 05:29;1010.7;270;1.6;90;7.6;0
03-06-17 05:59;1010.7;243;1.6;91;0;0
03-06-17 06:14;1010.7;243;1.6;92;1.5;0
03-06-17 06:44;1010.7;0;0;92;3.6;14
03-06-17 06:59;1010.7;0;0;92;3.8;39
03-06-17 07:14;1010.7;0;0;92;2.3;47
03-06-17 07:29;1010.7;0;0;93;0.5;84
03-06-17 07:44;1011.1;0;0;93;0.3;109
03-06-17 07:59;1011.1;0;0;93;0;84
03-06-17 08:14;1011.1;322;1.6;93;0;62
03-06-17 08:29;1011.1;321;0;93;0;72
03-06-17 08:44;1011.4;327;3.2;93;0;118
03-06-17 08:59;1011.4;305;1.6;93;0;227
03-06-17 09:14;1011.4;313;1.6;93;0;206
03-06-17 09:29;1011.4;55;0;91;0;158
03-06-17 09:44;1011.4;45;1.6;90;0;158
03-06-17 09:59;1011.4;36;0;89;0;330
03-06-17 10:14;1011.4;94;3.2;87;0;494
03-06-17 10:29;1011.4;88;3.2;81;0;838
03-06-17 10:44;1011.1;92;4.8;80;0;1002
03-06-17 10:59;1011.1;103;3.2;76;0;353
03-06-17 11:14;1011.1;75;3.2;74;0;673
03-06-17 11:29;1011.1;90;3.2;69;0;900
03-06-17 11:44;1010.7;85;1.6;69;0;1034
03-06-17 11:59;1011.1;122;1.6;67;0;394
03-06-17 12:14;1010.7;302;3.2;69;0;264
03-06-17 12:29;1010.7;313;1.6;70;0;334
03-06-17 12:44;1010.7;104;1.6;69;0;264
03-06-17 12:59;1010.7;50;1.6;70;0;127
03-06-17 13:14;1010.7;187;0;71;0;134
03-06-17 13:29;1010.7;57;1.6;70;0;174
03-06-17 13:44;1010.7;141;1.6;72;0;167
03-06-17 13:59;1010.4;93;0;75;0;155
03-06-17 14:14;1010.4;310;1.6;76;0;241
03-06-17 14:29;1010.4;330;1.6;76;0;253
03-06-17 14:44;1010;23;1.6;77;0;281
03-06-17 14:59;1010;4;1.6;75;0;374
03-06-17 15:14;1010;92;1.6;72;0;352
03-06-17 15:29;1010;273;0;69;0;281
03-06-17 15:44;1009.7;274;1.6;68;0;278
03-06-17 15:59;1009.7;0;0;69;0;425
03-06-17 16:14;1009.7;286;1.6;65;0;664
03-06-17 16:29;1009.7;288;4.8;65;0;536
03-06-17 16:44;1009.7;313;3.2;62;0;849
03-06-17 17:14;1009.4;353;1.6;57;0;918
03-06-17 17:29;1009.4;299;6.4;60;0;218
03-06-17 17:44;1009.4;330;4.8;66;0;204
03-06-17 17:59;1009.4;316;6.4;68;0;290
03-06-17 18:14;1009.4;318;4.8;67;0;264
03-06-17 18:29;1009;306;3.2;67;0;209
03-06-17 18:59;1009;319;4.8;70;0;167
03-06-17 19:14;1009;321;3.2;69;0;179
03-06-17 19:29;1009;316;3.2;69;0;160
03-06-17 19:44;1009.4;308;3.2;69;0;90
03-06-17 19:59;1009.4;129;1.6;70;0;58
03-06-17 20:14;1009.4;308;1.6;70;0;42
